Attrs  | Queries  |  Blowup  | Grinding | Folding  | Security |  Runs   | Size (B)  |   Avg Proving   |   Avg Verif.   
------------------------------------------------------------------------------------------------------------------------------------
  5    |    27    |    4     |    0     |    4     |    54    | 150/150 |   3735    |   4.348825ms    |   2.538831ms   
  5    |    27    |    4     |    0     |    8     |    54    | 150/150 |   3735    |   4.496312ms    |   2.620234ms   
  5    |    27    |    4     |    16    |    4     |    70    | 150/150 |   3741    |  557.115443ms   |   2.681255ms   
  5    |    27    |    4     |    16    |    8     |    70    | 150/150 |   3467    |  714.749543ms   |   2.526316ms   
  5    |    27    |    8     |    0     |    4     |    81    | 150/150 |   5185    |   6.497507ms    |   3.233347ms   
  5    |    27    |    8     |    0     |    8     |    81    | 150/150 |   4587    |   6.446492ms    |   2.923464ms   
  5    |    27    |    8     |    16    |    4     |    97    | 150/150 |   5129    |  194.820379ms   |   3.298985ms   
  5    |    27    |    8     |    16    |    8     |    97    | 150/150 |   4845    |  1.682618596s   |   3.201733ms   
  5    |    32    |    8     |    0     |    4     |    96    | 150/150 |   5539    |   6.584773ms    |   3.506881ms   
  5    |    32    |    8     |    0     |    8     |    96    | 150/150 |   5461    |   6.571843ms    |   3.436156ms   

  5    |    32    |    8     |    16    |    4     |   112    | 150/150 |   5321    |  309.208083ms   |   3.456838ms   
  5    |    32    |    8     |    16    |    8     |   112    | 150/150 |   5529    |  2.884686994s   |   3.876792ms   
  10   |    27    |    4     |    0     |    4     |    54    | 150/150 |   6327    |   6.182398ms    |   3.394773ms   
  10   |    27    |    4     |    0     |    8     |    54    | 150/150 |   6327    |   6.178482ms    |   3.398807ms   
  10   |    27    |    4     |    16    |    4     |    70    | 150/150 |   5747    |  827.337433ms   |   3.293921ms   
  10   |    27    |    4     |    16    |    8     |    70    | 150/150 |   6069    |  1.435554396s   |   3.445034ms   
  10   |    27    |    8     |    0     |    4     |    81    | 150/150 |   8513    |   9.238735ms    |   4.298626ms   
  10   |    27    |    8     |    0     |    8     |    81    | 150/150 |   8509    |   9.234132ms    |   4.292814ms   
  10   |    27    |    8     |    16    |    4     |    97    | 150/150 |   7745    |   700.27566ms   |   4.124072ms   
  10   |    27    |    8     |    16    |    8     |    97    | 150/150 |   7805    |  439.318388ms   |   4.109847ms   
  10   |    32    |    8     |    0     |    4     |    96    | 150/150 |   8323    |    9.30818ms    |    4.28782ms   
  10   |    32    |    8     |    0     |    8     |    96    | 150/150 |   9287    |   9.351746ms    |   4.685811ms   
  10   |    32    |    8     |    16    |    4     |   112    | 150/150 |   9545    |  821.471745ms   |   4.918537ms   
  10   |    32    |    8     |    16    |    8     |   112    | 150/150 |   9419    |   15.039573ms   |   4.732304ms   
  20   |    27    |    4     |    0     |    4     |    54    | 150/150 |   11235   |   9.780954ms    |   4.962348ms   
  20   |    27    |    4     |    0     |    8     |    54    | 150/150 |   10869   |   9.775447ms    |   4.853121ms   
  20   |    27    |    4     |    16    |    4     |    70    | 150/150 |   11799   |  416.664136ms   |   5.252027ms   
  20   |    27    |    4     |    16    |    8     |    70    | 150/150 |   12663   |  310.844045ms   |   5.519485ms   
  20   |    27    |    8     |    0     |    4     |    81    | 150/150 |   13759   |   14.692754ms   |   5.881469ms   
  20   |    27    |    8     |    0     |    8     |    81    | 150/150 |   13131   |   14.664694ms   |   5.666625ms   
  20   |    27    |    8     |    16    |    4     |    97    | 150/150 |   13695   |   1.85979432s   |   6.014271ms   
  20   |    27    |    8     |    16    |    8     |    97    | 150/150 |   14949   |  332.137806ms   |    6.3852ms    
  20   |    32    |    8     |    0     |    4     |    96    | 150/150 |   15683   |   14.810184ms   |   6.569672ms   
  20   |    32    |    8     |    0     |    8     |    96    | 150/150 |   15317   |   14.803632ms   |    6.46943ms   
  20   |    32    |    8     |    16    |    4     |   112    | 150/150 |   15119   |  564.609111ms   |   6.471962ms   
  20   |    32    |    8     |    16    |    8     |   112    | 150/150 |   13325   |  577.166129ms   |   5.901193ms 
